Frame Number,Player Coordinates,Resp Team,Ball Coordinates,Distance
10,"[40.726919229043276, 356.55509507379986]",1,"[132.16637893271945, 342.9165614551609]",92.45098371659961
10,"[178.43562513048911, 240.55568635633662]",0,"[132.16637893271945, 342.9165614551609]",112.33250595756743
10,"[141.92645724646326, 311.72544369022165]",0,"[132.16637893271945, 342.9165614551609]",32.68248699405723
10,"[141.8460317701893, 175.1382254086835]",1,"[132.16637893271945, 342.9165614551609]",168.05732868750067
11,"[129.86653560743645, 338.3139276024239]",1,"[132.16637893271945, 342.9165614551609]",5.145242239507211
11,"[201.1946059839204, 371.9594248771675]",1,"[132.16637893271945, 342.9165614551609]",74.88914504506967
11,"[153.61885783477413, 508.440416053312]",0,"[132.16637893271945, 342.9165614551609]",166.90822415948523
11,"[194.8284327302201, 354.86325069481404]",1,"[132.16637893271945, 342.9165614551609]",63.79072322767402
11,"[145.05788449346863, 240.14222748360743]",1,"[132.16637893271945, 342.9165614551609]",103.57970186730233
11,"[196.82501871641608, 183.73702997019376]",1,"[132.16637893271945, 342.9165614551609]",171.81054374645194
11,"[114.38214822089236, 373.146569759797]",1,"[132.16637893271945, 342.9165614551609]",35.07324142576305
11,"[243.74378136289613, 216.98794146835962]",1,"[132.16637893271945, 342.9165614551609]",168.2484296058831
11,"[185.38510967750355, 373.9524957563689]",0,"[132.16637893271945, 342.9165614551609]",61.60732521409063
11,"[178.56084847053776, 240.51081148709366]",0,"[132.16637893271945, 342.9165614551609]",112.4250169233603
11,"[198.46023222174807, 274.11015574292463]",1,"[132.16637893271945, 342.9165614551609]",95.54682857606582
11,"[106.35008075324065, 239.73651116637018]",0,"[132.16637893271945, 342.9165614551609]",106.36072597199184
11,"[154.06352323117238, 378.3250894928495]",0,"[132.16637893271945, 342.9165614551609]",41.632304598989585
11,"[208.89790484104955, 371.12409308177104]",0,"[132.16637893271945, 342.9165614551609]",81.75201470720428
11,"[209.9025315277203, 297.4462889501878]",0,"[132.16637893271945, 342.9165614551609]",90.05806516881077
11,"[162.53678202424217, 70.26955520657232]",1,"[132.16637893271945, 342.9165614551609]",274.33328525765785
11,"[103.41129213675913, 335.04211600017555]",0,"[132.16637893271945, 342.9165614551609]",29.813787211066476
11,"[167.8832010693115, 365.00138846139026]",1,"[132.16637893271945, 342.9165614551609]",41.9932252563676
11,"[142.0710212631694, 310.82444737537037]",0,"[132.16637893271945, 342.9165614551609]",33.58579648905813
11,"[142.40929560760662, 174.5688579182433]",1,"[132.16637893271945, 342.9165614551609]",168.65902474567608
11,"[40.92801832743823, 355.5939169613089]",1,"[132.16637893271945, 342.9165614551609]",92.11489449903634
12,"[114.88058973156996, 373.7929302617448]",1,"[132.16637893271945, 342.9165614551609]",35.38571263923852
12,"[194.92583008063735, 355.50696595590864]",1,"[132.16637893271945, 342.9165614551609]",64.0098976243545
12,"[196.82892341816824, 183.6745643675166]",1,"[132.16637893271945, 342.9165614551609]",171.86988769355133
12,"[201.2413715228423, 371.4737586164996]",1,"[132.16637893271945, 342.9165614551609]",74.74535511345903
12,"[145.0526029298763, 238.75349794108408]",1,"[132.16637893271945, 342.9165614551609]",104.95712729273082
12,"[178.63761132158405, 240.72079971277986]",0,"[132.16637893271945, 342.9165614551609]",112.2655296956522
12,"[185.21103683905108, 373.27977827423894]",0,"[132.16637893271945, 342.9165614551609]",61.12005127617363
12,"[153.75995450016384, 508.4062333606719]",0,"[132.16637893271945, 342.9165614551609]",166.89252234051892
12,"[243.8843695115388, 215.94704956857177]",1,"[132.16637893271945, 342.9165614551609]",169.12175013193266
12,"[208.73835152061147, 371.1648183298645]",0,"[132.16637893271945, 342.9165614551609]",81.6163647956715
12,"[103.6504340218915, 334.80685627944337]",0,"[132.16637893271945, 342.9165614551609]",29.646693444538368
12,"[198.62412525566901, 273.67417416219143]",1,"[132.16637893271945, 342.9165614551609]",95.97468543504112
12,"[209.93225402413472, 297.39554857870513]",0,"[132.16637893271945, 342.9165614551609]",90.10934436578735
12,"[106.31355049205752, 240.03790120737392]",0,"[132.16637893271945, 342.9165614551609]",106.0772712354625
12,"[130.33837907029374, 339.554375740131]",1,"[132.16637893271945, 342.9165614551609]",3.826993112010996
12,"[167.98245672553702, 364.62803513001023]",1,"[132.16637893271945, 342.9165614551609]",41.882926325590425
12,"[142.24879494454373, 310.33316721265413]",0,"[132.16637893271945, 342.9165614551609]",34.10766325912863
12,"[162.8573076956509, 69.94837902773278]",1,"[132.16637893271945, 342.9165614551609]",274.68811719123386
12,"[142.47329913766384, 174.89763940761824]",1,"[132.16637893271945, 342.9165614551609]",168.33475805706112
12,"[154.148899908419, 379.683930990193]",0,"[132.16637893271945, 342.9165614551609]",42.83772509100685
12,"[41.068292998361194, 355.0417642826835]",1,"[132.16637893271945, 342.9165614551609]",91.90147879393609
13,"[200.92249340781922, 371.8776482616734]",1,"[132.16637893271945, 342.9165614551609]",74.6066205287934
13,"[196.79086060658784, 184.08304160962643]",1,"[132.16637893271945, 342.9165614551609]",171.47714325279023
13,"[145.07474220520922, 238.93602938008797]",1,"[132.16637893271945, 342.9165614551609]",104.77870438686398
13,"[243.79578467932913, 216.69838874415925]",1,"[132.16637893271945, 342.9165614551609]",168.49970726931681
13,"[153.9927280474151, 508.4059547724515]",0,"[132.16637893271945, 342.9165614551609]",166.9225233939431
13,"[194.89946260802245, 357.79822943823643]",1,"[132.16637893271945, 342.9165614551609]",64.47405547482694
13,"[208.54230319937824, 371.0275662818977]",0,"[132.16637893271945, 342.9165614551609]",81.38495192574128
13,"[115.21105165302943, 373.8437108200976]",1,"[132.16637893271945, 342.9165614551609]",35.269982860819574
13,"[103.90256362841657, 334.1947561899241]",0,"[132.16637893271945, 342.9165614551609]",29.578930721722486
13,"[41.42792515053038, 355.86065966490935]",1,"[132.16637893271945, 342.9165614551609]",91.65706013857348
13,"[198.69213672343298, 273.63595939994497]",1,"[132.16637893271945, 342.9165614551609]",96.04935330735897
13,"[106.36792766200631, 240.22508402990553]",0,"[132.16637893271945, 342.9165614551609]",105.88248024932686
13,"[142.56336421361493, 174.97377445359865]",1,"[132.16637893271945, 342.9165614551609]",168.2643069958191
